Index,case,accept to use AI? trust it?,require explanation? (yes/no/x(not asked)),1st round: specific explanation,2nd round: Comments on card sorting choices ,cards fulfill requirement? (y/n/partial/x(not asked)/black:accept blackbox AI and not require explaination),1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th
P12,#Bird-learning,y,y,,,y,input df irc ir,rt dt te,ceh,,,,,,,,,,
P12,#Bird-report,y,y,,,y,te,prior output,rt irc dt,,,,,,,,,,
P12,#Bird-differentiate,y,y,,,y,input df irc ir ceh,rt dt te,cet,,,,,,,,,,
P23,#Health-trust,y,y,,,y,input,te se,fs fi,performance output,,,,,,,,,
P23,#Health-communicate-doctor,y,y,,,y,input,ce,fa,,,,,,,,,,
P23,#Health-communicate-family,y,y,,,y,se te,dt df,ce,,,,,,,,,,
P23,#Health-bias,y,n,,,y,input se te,,,,,,,,,,,,
P23,#Health-multi,y,,,,y,te se,prior performance fa fs fi dt df rt ,,,,,,,,,,,
P23,#Health-unexpect-lowRisk,y,y,,,y,input ce,te se,fs fi,fa dt df rt ,,,,,,,,,
P23,#Health-unexpect-highRisk,y,n,,,black,none,,,,,,,,,,,,
P23,#Health-expected-highRisk,y,n,,,black,none,,,,,,,,,,,,
P23,#Health-expected-lowRisk,y,n,,,black,none,,,,,,,,,,,,
P23,#Health-control,y,y,,,y,ce fa,dt df rt,fs fi,,,,,,,,,,
P25,#Health-trust,depends,y,,,y,rt fa df,te fi fs,dt prior performance,output,,,,,,,,,
P25,#Health-communicate-doctor,y,y,,,y,rt fa df,te fi fs,dt prior performance,output,,,,,,,,,
P25,#Health-communicate-family,y,y,,,y,rt fa df,te fi fs,dt prior performance,output,,,,,,,,,
P25,#Health-bias,y,n,,,y,rt fa df,te fi fs,dt prior performance,output,,,,,,,,,
P25,#Health-multi,x,x,,,y,rt fa df,te fi fs,dt prior performance,output,,,,,,,,,
P25,#Health-unexpect-lowRisk,depends,y,,,y,rt fa df,te fi fs,dt prior performance,output,,,,,,,,,
P25,#Health-unexpect-highRisk,depends,y,,,y,rt fa df,te fi fs,dt prior performance,output,,,,,,,,,
P25,#Health-expected-highRisk,y,y,,,y,rt fa df,te fi fs,dt prior performance,output,,,,,,,,,
P25,#Health-expected-lowRisk,y,n,,,y,rt fa df,te fi fs,dt prior performance,output,,,,,,,,,
P25,#Health-control,y,y,,,y,rt fa df,te fi fs,dt prior performance,output,,,,,,,,,
P26,#Bird-trust,y,y,,,y,rt se,,,,,,,,,,,,
P26,#Bird-unexpect,depends,y,,,y,df rt se,dt,,,,,,,,,,,
P26,#Bird-learning,y,y,,,y,te se ceh cet,df dt rt,,,,,,,,,,,
P26,#Bird-report,y,y,,,y,cet ceh se,df dt rt,,,,,,,,,,,
P26,#Bird-differentiate,y,y,,,y,cet ceh,df dt rt se,,,,,,,,,,,
P26,#House-trust,depends,y,,,x,x,,,,,,,,,,,,
P26,#House-expected,x,x,,,x,x,,,,,,,,,,,,
P26,#House-unexpect,x,x,,,x,x,,,,,,,,,,,,
P26,#House-control,x,x,,,x,x,,,,,,,,,,,,
P26,#House-communicate,x,x,,,x,x,,,,,,,,,,,,
P26,#Car-safe,n,y,,,x,x,,,,,,,,,,,,
P27,#Car-safe,n,y,,,partial,irc dt performance,,,,,,,,,,,,
P27,#Car-unexpect,y,y,,wc: test driving on non-typical conditions + stats,partial,wc,input output te,,,,,,,,,,,
P27,#Car-bias,y,y,,wc: test driving on non-typical conditions + stats,partial,wc,performance,,,,,,,,,,,
P27,#Car-multi,n,n,,,n,none,,,,,,,,,,,,
P27,#Car-communicate,y,y,,wc: test driving on non-typical conditions + stats,partial,wc irc rt dt df performance,,,,,,,,,,,,
P28,#House-trust,y,y,,,y,fa df dt,input se te,prior output,rt fi fs ce,performance,,,,,,,,
P28,#House-expected,y,y,,,y,fa df dt,input se te,prior output,rt fi fs ce,performance,,,,,,,,
P28,#House-unexpect,y,y,,,n,none,,,,,,,,,,,,
P28,#House-control,y,y,,,y,df dt,,,,,,,,,,,,
P28,#House-communicate,y,n,,,y,fa ,df dt,,,,,,,,,,,
